"Stem","A","B","C","D","E","CorrectLetters","Answer","Type","Tags"  ##这一行需要删掉，下面是数据内容
"第一个试着把图画投射到墙上的人是1640年拥有“魔术幻灯”的( )","阿塔纳斯·珂雪","彼得·马克·罗杰特","萨乌马特洛普","埃米尔·雷诺","","A","","single","动画简史_Q1"
"发现“视觉暂留”原理的人是( )","阿塔纳斯·珂雪","彼得·马克·罗杰特","萨乌马特洛普","埃米尔·雷诺","","B","","single","动画简史_Q2"
"普拉克辛视镜的发明者是( )","阿塔纳斯·珂雪","彼得·马克·罗杰特","萨乌马特洛普","埃米尔·雷诺","","D","","single","动画简史_Q3"
"历史上的第一个动画片是( )","《小尼莫梦境历险》","《恐龙葛蒂》","《滑稽脸的幽默相》","《汽船威利》","","C","","single","动画简史_Q4"
"动画卡通的鼻祖是( )","阿塔纳斯·珂雪","埃米尔·雷诺","萨乌马特洛普","詹姆斯·斯图亚特·布莱克顿","","D","","single","动画简史_Q5"
"迪士尼制作的首部全彩色卡通片是( )","《花与树》","《小鹿斑比》","《小飞象》","《米老鼠和唐老鸭》","","A","","single","动画简史_Q6"
"首次创造了完整、清晰、可信的不同人物性格，产生了巨大的影响的动画片是( )","《小尼莫梦境历险》","《恐龙葛蒂》","《三只小猪》","《小鹿斑比》","","C","","single","动画简史_Q7"
"( )是首部“人物性格”动画，象征着卡通个性的开始","《小飞象》","","《三只小猪》","《恐龙葛蒂》","","D","","single","动画简史_Q8"
"世界上第一部全片长如普通电影一样的动画片，奠定了迪士尼动画片制作基础的动画片是( )","","《小鹿斑比》","《小飞象》","《米老鼠和唐老鸭》","","A","","single","动画简史_Q9"
"下列仪器中运用了“视觉暂留”原理的有( )","萨乌马特洛普视觉暂留玩具","费那基斯陶视镜","“生命之轮”","普拉克辛视镜","手翻书","A,B,C,D,E","","multiple","动画简史_Q10"
"下列属于动画界“黄金时代”作品的是( )","《木偶奇遇记》","《恐龙葛蒂》","《小鹿斑比》","《米老鼠和唐老鸭》","《小尼莫梦境历险》","A,C,D","","multiple","动画简史_Q11"
"创造《木偶奇遇记》中动画人物斯特龙博利的人是( )","阿塔纳斯·珂雪","埃米尔·雷诺","萨乌马特洛普","比尔·迪特拉","","D","","single","是画画的时候了_Q1"
"“高飞”式的短片《老虎麻烦》(Tiger Trouble）是( )完成的,这是一部博大、疯狂的经典动画作品","阿特·巴比特","米尔特·卡尔","约翰·凯梅克","泰克斯·埃弗瑞","","B","","single","是画画的时候了_Q2"
